timestamp,function,duration_seconds
2026-06-14 18:56:09.704998,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:10.359099,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:10.375021,apply_high_pass_filter,0.0023,4096
2026-06-14 18:56:10.475543,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:10.719770,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:11.180487,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:11.235606,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:11.496413,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:11.740527,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:12.021376,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:12.564082,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:12.575921,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:12.772472,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:13.007103,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:13.270732,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:13.688835,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:13.787350,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:14.041133,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:14.301073,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:14.552410,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:14.826727,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:15.053178,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:15.316475,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:15.576452,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:15.830907,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:16.081385,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:16.346623,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:16.607612,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:16.861598,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:17.111426,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:17.663677,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:17.675730,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:17.881120,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:18.130839,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:18.396225,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:18.859883,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:18.932492,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:19.153019,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:19.397627,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:19.681885,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:19.925937,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:20.191452,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:20.446105,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:20.688469,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:20.961030,apply_high_pass_filter,0.0015,4096
2026-06-14 18:56:21.209685,apply_high_pass_filter,0.0015,4096
2026-06-14 18:56:21.463481,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:21.725861,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:21.972929,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:22.242873,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:22.490915,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:22.756210,apply_high_pass_filter,0.0034,4096
2026-06-14 18:56:23.309968,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:23.323244,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:23.521974,apply_high_pass_filter,0.0022,4096
2026-06-14 18:56:23.776243,apply_high_pass_filter,0.0016,4096
2026-06-14 18:56:24.026192,apply_high_pass_filter,0.0009,4096
